product_code,product_name,ingredient
640900820,이카졸정(이트라코나졸)_(0.1g/1정),itraconazole
59400050,제토바정10/20밀리그램_(1정),atorvastatin
60500760,메가아토바정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),atorvastatin
643301110,사이폴-엔연질캡슐25밀리그램(사이클로스포린)(수출명:데나스포연질캡슐25밀리그램)_(25mg/1캡슐),cyclosporine
73000140,건피타정4밀리그램(피타바스타틴칼슘)_(4mg/1정),pitavastatin
661900760,심바스정(심바스타틴)_(20mg/1정),simvastatin
73000530,이라코나정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
643301091,"사이폴-엔내복액(사이클로스포린)(수출명:데나스포내복액,사이클로랄내복액)_(5g/50mL)",cyclosporine
73000720,로수칸데정10/8밀리그램_(1정),rosuvastatin
73000760,로수칸데정5/16밀리그램_(1정),candesartan cilexetil
645102958,보노렉스300주(이오헥솔)(수출명: IOHEXOL 300 Inj.)_(84.11g/130mL),iohexol
73000870,"글리포엠정(글리메피리드, 메트포르민염산염)_(1정)",metformin
621400113,이오메론400주사액(이오메프롤)_(408.25g/500mL),iomeprol
73000870,"글리포엠정(글리메피리드, 메트포르민염산염)_(1정)",glimepiride
646002010,이트코나정(이트라코나졸)_(0.1g/1정),itraconazole
73001000,아토노바정5/10밀리그램_(1정),amlodipine
645903070,티나덤캡슐(이트라코나졸)_(0.1g/1캡슐),itraconazole
73001010,아토노바정5/20밀리그램_(1정),amlodipine
655603040,한올이트라코나졸정_(0.1g/1정),itraconazole
656001250,알트라졸정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
73001010,아토노바정5/20밀리그램_(1정),atorvastatin
625500230,셀코나졸정100밀리그램(이트라코나졸)_(0.1g/1정),itraconazole
73001440,아토건정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),atorvastatin
73001450,아토건정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),atorvastatin
649703280,이트라엘정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
653600532,산디문뉴오랄내복액(사이클로스포린)_(5g/50mL),cyclosporine
73001640,건토젯정10/10밀리그램(에제티미브/아토르바스타틴칼슘삼수화물)_(1정),atorvastatin
698502320,클래로신정 250밀리그램(클래리트로마이신)_(0.25g/1정),clarithromycin
73100070,바이토린정10/20_(1정),ezetimibe
669907281,클래마신건조시럽125mg/5mL(클래리트로마이신)_(2.5g/100mL),clarithromycin
73100070,바이토린정10/20_(1정),simvastatin
656702220,래트로신정500mg(클래리트로마이신)_(0.5g/1정),clarithromycin
649802950,크래리신정500밀리그램(클래리트로마이신)_(0.5g/1정),clarithromycin
669501640,클라이신정500mg(클래리트로마이신)_(0.5g/1정),clarithromycin
57600021,클시드건조시럽125mg/5mL(클래리트로마이신)_(2.5g/100mL),clarithromycin
690302840,이트라텍캡슐100밀리그램(이트라코나졸)_(0.1g/1캡슐),itraconazole
73100120,바이토린정10/10_(1정),ezetimibe
